freq,ampl_A,ampl_B,ampl_C
0,0.18325111,0.11346356,0.1432783
1,0.0070821233,0.0027942783,0.023665966
2,0.00854688,0.013557866,0.024914382
3,0.0057020234,0.0012773203,0.021728456
4,0.009898074,0.0018064657,0.01790995
5,0.006592665,0.009056137,0.016360253
6,0.010710399,0.009010168,0.025790105
7,0.010493727,0.014888445,0.0284205
8,0.011599481,0.0044644307,0.01933758
9,0.01423762,0.006021795,0.011205297
10,0.003749403,0.006079321,0.020678218
11,0.0055151084,0.016307779,0.03120643
12,0.009043156,0.013837707,0.0247658
13,0.0032638125,0.00084443024,0.021578532
14,0.009943144,0.01214228,0.018293757
15,0.0058707753,0.007032568,0.023895701
16,0.011857536,0.009154762,0.023884185
17,0.016776063,0.012503296,0.018955026
18,0.00892164,0.0025511987,0.020052422
19,0.0071514454,0.014288725,0.03036266
20,0.010861141,0.0034428868,0.010656168
21,0.0028944092,0.0051855836,0.01663125
22,0.011467855,0.009614233,0.019437533
23,0.01254018,0.009389094,0.022849798
24,0.011569298,0.011329555,0.024661617
25,0.005441469,0.0036807866,0.026205663
26,0.012777341,0.011655987,0.016512495
27,0.008941914,0.0037998667,0.023030393
28,0.004552094,0.0019337635,0.021957578
29,0.009072776,0.002422468,0.021457126
30,0.0042755106,0.003401335,0.0189292
31,0.014537995,0.0055047204,0.022209575
32,0.00985591,0.002281412,0.020037336
33,0.0050596856,0.0042004003,0.02186338
34,0.0062630377,0.004048676,0.023180045
35,0.007875834,0.002252666,0.018803647
36,0.015489464,0.01097976,0.014772087
37,0.031885363,0.024725005,0.02802878
38,0.0053839665,0.008344646,0.016289944
39,0.00458627,0.0041337,0.022748014
40,0.0143833,0.0092159975,0.027360704
41,0.013309457,0.009795031,0.02645915
42,0.016363196,0.0044018496,0.022839932
43,0.035177633,0.019546984,0.026235102
44,0.061579566,0.070376195,0.05758753
45,0.020004569,0.020271277,0.014175517
46,0.012461821,0.00951428,0.021759389
47,0.006527801,0.006957356,0.022997279
48,0.009445506,0.0055462965,0.025122937
49,0.012048683,0.0038567593,0.020192968
50,0.0073645622,0.0151335215,0.025321502
51,0.009323953,0.0039482983,0.02568078
52,0.0061154147,0.018848756,0.03125096
53,0.009202811,0.010010029,0.03208162
54,0.007728152,0.008879477,0.029895086
55,0.012790935,0.012435228,0.028445456
56,0.009379489,0.01695113,0.024719741
57,0.014770395,0.01135225,0.0290896
